Date,SST
2023-02-04,2768.6917791310075
2023-02-05,2772.1247531270574
2023-02-06,2775.5577271231077
2023-02-07,2778.9907011191576
2023-02-08,2782.4236751152075
2023-02-09,2785.8566491112574
2023-02-10,2789.289623107308
2023-02-11,2792.7225971033577
2023-02-12,2796.155571099408
2023-02-13,2799.588545095457
2023-02-14,2803.021519091508
2023-02-15,2806.4544930875577
2023-02-16,2809.887467083608
2023-02-17,2813.320441079658
2023-02-18,2816.753415075708
2023-02-19,2820.1863890717577
2023-02-20,2823.619363067808
2023-02-21,2827.052337063858
2023-02-22,2830.485311059908
2023-02-23,2833.9182850559578
2023-02-24,2837.351259052008
2023-02-25,2840.784233048058
2023-02-26,2844.217207044108
2023-02-27,2847.650181040158
2023-02-28,2851.083155036208
2023-03-01,2854.516129032258
2023-03-02,2859.710232396809
2023-03-03,2864.90433576136
2023-03-04,2870.0984391259103
2023-03-05,2875.292542490461
2023-03-06,2880.4866458550123
2023-03-07,2885.680749219563
2023-03-08,2890.874852584114
2023-03-09,2896.068955948665
2023-03-10,2901.2630593132158
2023-03-11,2906.457162677766
2023-03-12,2911.651266042317
2023-03-13,2916.845369406868
2023-03-14,2922.039472771419
2023-03-15,2927.233576135969
2023-03-16,2932.4276795005203
2023-03-17,2937.621782865071
2023-03-18,2942.815886229622
2023-03-19,2948.009989594173
2023-03-20,2953.204092958724
2023-03-21,2958.3981963232745
2023-03-22,2963.5922996878253
2023-03-23,2968.786403052376
2023-03-24,2973.980506416927
2023-03-25,2979.1746097814776
2023-03-26,2984.3687131460283
2023-03-27,2989.562816510579
2023-03-28,2994.75691987513
2023-03-29,2999.951023239681
2023-03-30,3005.145126604232
2023-03-31,3010.3392299687825
2023-04-01,3015.5333333333333
2023-04-02,3014.959641577061
2023-04-03,3014.3859498207885
2023-04-04,3013.812258064516
2023-04-05,3013.238566308244
2023-04-06,3012.6648745519715
2023-04-07,3012.091182795699
2023-04-08,3011.517491039426
2023-04-09,3010.943799283154
2023-04-10,3010.370107526882
2023-04-11,3009.796415770609
2023-04-12,3009.222724014337
2023-04-13,3008.6490322580644
2023-04-14,3008.075340501792
2023-04-15,3007.50164874552
2023-04-16,3006.927956989247
2023-04-17,3006.3542652329747
2023-04-18,3005.7805734767026
2023-04-19,3005.20688172043
2023-04-20,3004.6331899641573
2023-04-21,3004.059498207885
2023-04-22,3003.485806451613
2023-04-23,3002.9121146953403
2023-04-24,3002.338422939068
2023-04-25,3001.7647311827955
2023-04-26,3001.1910394265237
2023-04-27,3000.61734767025
2023-04-28,3000.043655913978
2023-04-29,2999.469964157706
2023-04-30,2998.8962724014336
2023-05-01,2998.322580645161
2023-05-02,2997.792819979188
2023-05-03,2997.2630593132158
2023-05-04,2996.733298647242
2023-05-05,2996.203537981269
2023-05-06,2995.6737773152963
2023-05-07,2995.1440166493235
2023-05-08,2994.61425598335
2023-05-09,2994.0844953173773
2023-05-10,2993.5547346514045
2023-05-11,2993.024973985432
2023-05-12,2992.495213319459
2023-05-13,2991.965452653486
2023-05-14,2991.4356919875127
2023-05-15,2990.90593132154
2023-05-16,2990.376170655567
2023-05-17,2989.846409989594
2023-05-18,2989.3166493236213
2023-05-19,2988.7868886576484
2023-05-20,2988.257127991675
2023-05-21,2987.7273673257023
2023-05-22,2987.197606659729
2023-05-23,2986.6678459937566
2023-05-24,2986.138085327784
2023-05-25,2985.6083246618105
2023-05-26,2985.0785639958376
2023-05-27,2984.5488033298648
2023-05-28,2984.019042663892
2023-05-29,2983.489281997919
2023-05-30,2982.959521331946
2023-05-31,2982.429760665973
2023-06-01,2981.9
2023-06-02,2979.565698924732
2023-06-03,2977.2313978494626
2023-06-04,2974.897096774194
2023-06-05,2972.5627956989247
2023-06-06,2970.228494623656
2023-06-07,2967.894193548387
2023-06-08,2965.5598924731185
2023-06-09,2963.2255913978497
2023-06-10,2960.891290322581
2023-06-11,2958.556989247312
2023-06-12,2956.2226881720435
2023-06-13,2953.8883870967743
2023-06-14,2951.5540860215056
2023-06-15,2949.219784946237
2023-06-16,2946.885483870968
2023-06-17,2944.5511827957
2023-06-18,2942.2168817204306
2023-06-19,2939.882580645162
2023-06-20,2937.5482795698927
2023-06-21,2935.213978494624
2023-06-22,2932.879677419355
2023-06-23,2930.5453763440864
2023-06-24,2928.2110752688177
2023-06-25,2925.876774193549
2023-06-26,2923.54247311828
2023-06-27,2921.2081720430115
2023-06-28,2918.8738709677423
2023-06-29,2916.539569892473
2023-06-30,2914.205268817205
2023-07-01,2911.870967741936
2023-07-02,2909.57232049948
2023-07-03,2907.2736732570243
2023-07-04,2904.975026014569
2023-07-05,2902.676378772113
2023-07-06,2900.377731529657
2023-07-07,2898.079084287201
2023-07-08,2895.7804370447457
2023-07-09,2893.4817898022898
2023-07-10,2891.183142559834
2023-07-11,2888.884495317378
2023-07-12,2886.585848074922
2023-07-13,2884.2872008324666
2023-07-14,2881.9885535900107
2023-07-15,2879.689906347555
2023-07-16,2877.391259105099
2023-07-17,2875.0926118626435
2023-07-18,2872.793964620188
2023-07-19,2870.495317377732
2023-07-20,2868.196670135276
2023-07-21,2865.8980228928203
2023-07-22,2863.5993756503644
2023-07-23,2861.3007284079085
2023-07-24,2859.0020811654526
2023-07-25,2856.7034339229967
2023-07-26,2854.4047866805413
2023-07-27,2852.1061394380854
2023-07-28,2849.807492195629
2023-07-29,2847.5088449531736
2023-07-30,2845.210197710718
2023-07-31,2842.9115504682622
2023-08-01,2840.6129032258063
2023-08-02,2840.7587235518554
2023-08-03,2840.904543877905
2023-08-04,2841.050364203954
2023-08-05,2841.1961845300034
2023-08-06,2841.3420048560524
2023-08-07,2841.487825182102
2023-08-08,2841.633645508151
2023-08-09,2841.7794658342004
2023-08-10,2841.925286160249
2023-08-11,2842.071106486299
2023-08-12,2842.216926812348
2023-08-13,2842.362747138397
2023-08-14,2842.5085674644465
2023-08-15,2842.654387790496
2023-08-16,2842.800208116545
2023-08-17,2842.9460284425945
2023-08-18,2843.091848768644
2023-08-19,2843.237669094693
2023-08-20,2843.383489420742
2023-08-21,2843.529309746792
2023-08-22,2843.6751300728406
2023-08-23,2843.82095039889
2023-08-24,2843.966770724939
2023-08-25,2844.1125910509886
2023-08-26,2844.2584113770376
2023-08-27,2844.404231703087
2023-08-28,2844.550052029136
2023-08-29,2844.6958723551857
2023-08-30,2844.8416926812347
2023-08-31,2844.987513007284
2023-09-01,2845.133333333333
2023-09-02,2846.3181362007167
2023-09-03,2847.5029390681
2023-09-04,2848.687741935484
2023-09-05,2849.872544802867
2023-09-06,2851.0573476702507
2023-09-07,2852.242150537634
2023-09-08,2853.4269534050177
2023-09-09,2854.611756272401
2023-09-10,2855.7965591397847
2023-09-11,2856.981362007168
2023-09-12,2858.166164874552
2023-09-13,2859.350967741935
2023-09-14,2860.5357706093187
2023-09-15,2861.720573476702
2023-09-16,2862.905376344086
2023-09-17,2864.0901792114696
2023-09-18,2865.274982078853
2023-09-19,2866.4597849462366
2023-09-20,2867.64458781362
2023-09-21,2868.829390681004
2023-09-22,2870.014193548387
2023-09-23,2871.1989964157706
2023-09-24,2872.383799283154
2023-09-25,2873.5686021505376
2023-09-26,2874.753405017921
2023-09-27,2875.938207885305
2023-09-28,2877.123010752688
2023-09-29,2878.307813620072
2023-09-30,2879.492616487455
2023-10-01,2880.6774193548385
2023-10-02,2881.827610128338
2023-10-03,2882.9778009018382
2023-10-04,2884.127991675338
2023-10-05,2885.278182448838
2023-10-06,2886.428373222337
2023-10-07,2887.5785639958376
2023-10-08,2888.728754769337
2023-10-09,2889.8789455428373
2023-10-10,2891.029136316337
2023-10-11,2892.179327089837
2023-10-12,2893.3295178633366
2023-10-13,2894.479708636836
2023-10-14,2895.6298994103363
2023-10-15,2896.780090183836
2023-10-16,2897.930280957336
2023-10-17,2899.080471730836
2023-10-18,2900.230662504336
2023-10-19,2901.3808532778357
2023-10-20,2902.531044051336
2023-10-21,2903.681234824835
2023-10-22,2904.8314255983346
2023-10-23,2905.9816163718347
2023-10-24,2907.1318071453343
2023-10-25,2908.2819979188343
2023-10-26,2909.432188692334
2023-10-27,2910.582379465834
2023-10-28,2911.7325702393337
2023-10-29,2912.8827610128337
2023-10-30,2914.0329517863333
2023-10-31,2915.1831425598334
2023-11-01,2916.333333333333
2023-11-02,2913.821111111111
2023-11-03,2911.3088888888888
2023-11-04,2908.796666666666
2023-11-05,2906.284444444444
2023-11-06,2903.772222222222
2023-11-07,2901.26
2023-11-08,2898.7477777777776
2023-11-09,2896.2355555555555
2023-11-10,2893.7233333333334
2023-11-11,2891.2111111111108
2023-11-12,2888.6988888888886
2023-11-13,2886.1866666666665
2023-11-14,2883.6744444444444
2023-11-15,2881.162222222222
2023-11-16,2878.65
2023-11-17,2876.137777777777
2023-11-18,2873.625555555556
2023-11-19,2871.113333333333
2023-11-20,2868.601111111111
2023-11-21,2866.088888888889
2023-11-22,2863.576666666667
2023-11-23,2861.064444444444
2023-11-24,2858.552222222222
2023-11-25,2856.04
2023-11-26,2853.527777777778
2023-11-27,2851.015555555556
2023-11-28,2848.503333333333
2023-11-29,2845.991111111111
2023-11-30,2843.478888888889
2023-12-01,2840.9666666666667
2023-12-02,2839.822060353798
2023-12-03,2838.6774540409297
2023-12-04,2837.532847728061
2023-12-05,2836.3882414151926
2023-12-06,2835.243635102324
2023-12-07,2834.099028789456
2023-12-08,2832.954422476587
2023-12-09,2831.8098161637186
2023-12-10,2830.66520985085
2023-12-11,2829.520603537981
2023-12-12,2828.3759972251128
2023-12-13,2827.231390912244
2023-12-14,2826.086784599376
2023-12-15,2824.942178286507
2023-12-16,2823.7975719736387
2023-12-17,2822.65296566077
2023-12-18,2821.5083593479017
2023-12-19,2820.363753035033
2023-12-20,2819.2191467221646
2023-12-21,2818.074540409296
2023-12-22,2816.929934096427
2023-12-23,2815.785327783559
2023-12-24,2814.64072147069
2023-12-25,2813.496115157822
2023-12-26,2812.351508844953
2023-12-27,2811.2069025320848
2023-12-28,2810.062296219216
2023-12-29,2808.917689906348
2023-12-30,2807.773083593479
2023-12-31,2806.6284772806107
2024-01-01,2805.483870967742
2024-01-02,2807.337005274678
2024-01-03,2809.190139581614
2024-01-04,2811.04327388855
2024-01-05,2812.896408195486
2024-01-06,2814.749542502422
2024-01-07,2816.602676809358
2024-01-08,2818.455811116294
2024-01-09,2820.30894542323
2024-01-10,2822.162079730166
2024-01-11,2824.015214037102
2024-01-12,2825.868348344038
2024-01-13,2827.7214826509744
2024-01-14,2829.57461695791
2024-01-15,2831.4277512648464
2024-01-16,2833.280885571782
2024-01-17,2835.1340198787184
2024-01-18,2836.987154185654
2024-01-19,2838.8402884925904
2024-01-20,2840.693422799526
2024-01-21,2842.5465571064624
2024-01-22,2844.3996914133986
2024-01-23,2846.2528257203344
2024-01-24,2848.1059600272706
2024-01-25,2849.9590943342064
2024-01-26,2851.8122286411426
2024-01-27,2853.6653629480784
2024-01-28,2855.5184972550146
2024-01-29,2857.3716315619504
2024-01-30,2859.2247658688866
2024-01-31,2861.0779001758224
2024-02-01,2862.9310344827586
2024-02-02,2865.584135629627
2024-02-03,2868.237236776495
2024-02-04,2870.890337923363
2024-02-05,2873.543439070231
2024-02-06,2876.1965402170995
2024-02-07,2878.849641363968
2024-02-08,2881.502742510836
2024-02-09,2884.1558436577043
2024-02-10,2886.808944804572
2024-02-11,2889.4620459514404
2024-02-12,2892.1151470983086
2024-02-13,2894.768248245177
2024-02-14,2897.421349392045
2024-02-15,2900.0744505389134
2024-02-16,2902.727551685781
2024-02-17,2905.380652832649
2024-02-18,2908.0337539795178
2024-02-19,2910.686855126386
2024-02-20,2913.3399562732543
2024-02-21,2915.9930574201226
2024-02-22,2918.6461585669904
2024-02-23,2921.299259713858
2024-02-24,2923.952360860727
2024-02-25,2926.605462007595
2024-02-26,2929.2585631544634
2024-02-27,2931.9116643013317
2024-02-28,2934.5647654481995
2024-02-29,2937.217866595068
2024-03-01,2939.870967741936
2024-03-02,2943.2869580298307
2024-03-03,2946.7029483177253
2024-03-04,2950.11893860562
