system:index,date,mean_sst,.geo
20230907,2023-09-07,2881.9986729200973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230908,2023-09-08,2883.5787643586555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230909,2023-09-09,2890.597670325005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230910,2023-09-10,2882.9600596201494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230911,2023-09-11,2873.536524232013,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230912,2023-09-12,2879.776493358702,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230913,2023-09-13,2878.3928668470267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230914,2023-09-14,2880.253799110824,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230915,2023-09-15,2876.6899220685204,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230916,2023-09-16,2879.098016862194,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230917,2023-09-17,2874.4716705849087,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230918,2023-09-18,2860.9050763760133,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230919,2023-09-19,2870.3487522692353,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230920,2023-09-20,2883.4006028959516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230921,2023-09-21,2884.9417325284244,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230922,2023-09-22,2886.824152066823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230923,2023-09-23,2890.799935811865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230924,2023-09-24,2895.648426209247,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230925,2023-09-25,2899.1127663512525,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230926,2023-09-26,2899.526764090876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230927,2023-09-27,2895.370265140341,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230928,2023-09-28,2883.2208288539555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230929,2023-09-29,2882.491005784813,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230930,2023-09-30,2875.924137890301,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231001,2023-10-01,2875.771023584227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231002,2023-10-02,2880.0850886623302,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231003,2023-10-03,2877.3578134290974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231004,2023-10-04,2882.7615627252017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231005,2023-10-05,2884.6498615820296,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231006,2023-10-06,2891.306427477259,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231007,2023-10-07,2896.0088957671373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231008,2023-10-08,2903.7592747921835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231009,2023-10-09,2911.5907848673487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231010,2023-10-10,2917.533555038381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231011,2023-10-11,2905.7924183176465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231012,2023-10-12,2899.280675432487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231013,2023-10-13,2916.1348974761872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231014,2023-10-14,2927.1606101417287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231015,2023-10-15,2925.480164683931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231016,2023-10-16,2931.3828113616973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231017,2023-10-17,2919.8300195714887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231018,2023-10-18,2899.9295899441217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231019,2023-10-19,2898.696112482824,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231020,2023-10-20,2903.9306689349164,"{""type"":""MultiPoint"",""coordinates"":[]}"
